zip_code,bedrooms,market_rate
14206,1,750
14206,1,1000
14206,1,750
14206,1,1760
14206,1,1295
14206,1,1751
14206,1,1850
14206,1,1750
14206,1,1450
14206,1,1370
14207,1,1600
14207,1,995
14207,1,1250
14207,1,1500
14207,1,1150
14207,1,850
14207,1,850
14207,1,1282
14207,1,1525
14207,1,1300
14207,1,1095
14207,1,1395
14207,1,1275
14207,1,100
14208,1,100
14208,1,1200
14208,1,1343
14208,1,1524
14208,1,1600
14208,1,1525
14208,1,1300
14208,1,1295
14208,1,1850
14208,1,1575
14208,1,1395
14208,1,1275
14209,1,1525
14209,1,1300
14209,1,1295
14209,1,1395
14209,1,1275
14209,1,1650
14209,1,1580
14209,1,1620
14209,1,1282
14209,1,1751
14209,1,1850
14209,1,1450
14209,1,1095
14209,1,1575
14210,1,1495
14210,1,1050
14210,1,1050
14210,1,850
14210,1,875
14210,1,1425
14210,1,1595
14210,1,1760
14210,1,1750
14210,1,1370
14210,1,1000
14210,1,1900
14210,1,1825
14210,1,1575
14211,1,850
14211,1,850
14211,1,850
14211,1,1525
14211,1,1300
14211,1,1295
14211,1,1751
14211,1,1850
14211,1,1750
14211,1,1450
14212,1,650
14212,1,975
14212,1,940
14212,1,1295
14212,1,1751
14212,1,1750
14212,1,1450
14212,1,1575
14212,1,1900
14212,1,1275
14213,1,1700
14213,1,1700
14213,1,1200
14213,1,1200
14213,1,950
14213,1,900
14213,1,1600
14213,1,1320
14213,1,1620
14213,1,1295
14213,1,1751
14213,1,1850
14213,1,1750
14213,1,1450
14214,1,1000
14214,1,1050
14214,1,800
14214,1,1175
14214,1,1095
14214,1,1250
14214,1,1025
14214,1,1282
14214,1,1525
14214,1,1300
14214,1,1095
14214,1,1395
14214,1,1275
14214,1,100
14215,1,950
14215,1,650
14215,1,875
14215,1,1250
14215,1,1295
14215,1,1000
14215,1,1325
14215,1,1025
14215,1,1250
14215,1,2500
14215,1,850
14216,1,1282
14216,1,1325
14216,1,1250
14216,1,1025
14216,1,850
14216,1,1050
14216,1,1600
14216,1,1600
14216,1,1275
14216,1,1200
14216,1,1700
14216,1,1700
14216,1,1000
14216,1,1000
14217,1,1000
14217,1,900
14217,1,1600
14217,1,1005
14217,1,875
14217,1,1050
14217,1,1050
14217,1,1050
14217,1,1325
14218,1,925
14218,1,800
14218,1,1100
14218,1,890
14218,1,1100
14218,1,1150
14218,1,800
14218,1,1285
14218,1,1000
14218,1,1050
14218,1,1600
14218,1,850
14218,1,1075
14218,1,1050
14219,1,950
14219,1,1175
14219,1,1360
14219,1,1280
14219,1,1175
14219,1,925
14219,1,800
14219,1,1100
14219,1,890
14220,1,795
14220,1,900
14220,1,795
14220,1,1370
14220,1,1495
14220,1,1825
14220,1,1050
14220,1,1050
14220,1,850
14220,1,1075
14221,1,2007
14221,1,1400
14221,1,1496
14221,1,1380
14221,1,1075
14221,1,2775
14221,1,2100
14221,1,1295
14221,1,1588
14221,1,1495
14221,1,1295
14221,1,1275
14221,1,1295
14221,1,1325
14222,1,1095
14222,1,600
14222,1,1300
14222,1,1750
14222,1,2500
14222,1,3450
14222,1,975
14223,1,1050
14223,1,1050
14223,1,1050
14223,1,1050
14223,1,1075
14223,1,1025
14223,1,1250
14223,1,1295
14223,1,1005
14223,1,875
14223,1,1325
14223,1,1025
14223,1,850
14223,1,1150
14224,1,1285
14224,1,1450
